Level,Message
Medium,Successfully obtained a valid SPOAuthToken from the request to sign-in with.
Medium,Attempting to sign in with SPOAuthToken.
Medium,Got raw user name from the JSON token. RawUserName: <name>'327420_twgroup.co.nz#EXT#@colliers.onmicrosoft.com'</name>.
Medium,Got the identity provider from the JSON token. OriginalIdentityProvider: 'https://sts.windows.net/07e47c7e-9339-473b-8138-adb77559c551/'.
Medium,Got wids claim from ID token. Value: '13bd1c72-6f4a-4dcf-985f-18d3b80f208a'.
Medium,home_oid is not included in the JSON token.
Medium,Got the alternative security id from the JSON token. AlternativeSecurityId: '5::10032002CC6815D0'.
Medium,Using full host domain for cookie. CookieName: 'nSGt'.
Medium,"Successfully read nonce cookie. Version: '0', Seed: '876DCCFDC814B3A2C5A05AC95023860ED17C40E1403DE165', Identifier: 'FC08EF6B552810B042BB1ADEC22EAB27CE71C2736D719C88'."
Medium,Successfully read the Nonce cookie and validated it against the token Nonce claim value.
Medium,The JSON token nonce is valid because it has matching nonce cookie.
Medium,Trying to map user.
Medium,Trying to find connected account for tenant OpenID Connect token.
Medium,Got the puid from the JSON token. PUID: '10032002CE038AB7'.
Medium,The JSON token is for a tenant user.
Medium,"Connected account lookup for tenant user. UserName: <name>'327420_twgroup.co.nz#EXT#@colliers.onmicrosoft.com'</name>, Puid: '10032002CE038AB7',  AlternateSecurityId: '5::10032002CC6815D0'."
Medium,[SPOAuthSPODSAccessor.GetSPODSMode]: Got current SPODS Mode. Value: 'ADOnly'.
Medium,"Initializing ActiveDirectoryResolver from context was SUCCESSFUL for SPSite. Value: 'https://colliers.sharepoint.com/_vti_bin/client.svc/contextinfo<scrubbed>', UsedValue: 'https://colliers.sharepoint.com/_vti_bin/client.svc/contextinfo<scrubbed>'."
Medium,[ActiveDirectoryResolver]: In GetUserFromDirectoryAsProcess
Medium,"SetSpodsCredentialIfNeeded: Using custom credentials for Spods. Server 'LDAP://spd192625-055.spods192624.msft.net/OU=049e3382-8cdc-477b-9317-951b04689668,OU=Tenants,OU=MSOnline,DC=SPODS192624,DC=msft,DC=net', UserName: 'SPODS192624.msft.net\_DS192624_RD_7'."
Medium,Skipping load shedding evaluation for scope SPODS_ActiveDirectory
Medium,Leaving Monitored Scope: (Name=QueryDirectoryServices with high availability for login;StaticScopeId=6jnk9) Execution Time=6.0885; CPU Milliseconds=4; Managed Bytes=114304; SQL Query Count=0; GCPauseMS=0; AllocBytes=115432;; Parent=GuestHelper.TryFindUserInSPODS: SPOAuthSPODSAccessor.GetUser
Medium,userSearchResult = System.DirectoryServices.SearchResult
Medium,User search resulted in MsoAccountEnabled being true.
Medium,This is a new guest user: 327420_twgroup.co.nz#EXT#@colliers.onmicrosoft.com.
Medium,GetUtcDateTimeProperty: Received property as a DateTime instance. Property name: 'msOnline-StsRefreshTokensValidFrom' Incoming value: '8/1/2023 3:50:29 AM' Incoming kind: 'Unspecified'.
Medium,GetUtcDateTimeProperty: Received property as a DateTime instance. Property name: 'msOnline-StsRefreshTokensValidFrom' Value: '8/1/2023 3:50:29 AM' Kind: 'Utc'.
Medium,Leaving Monitored Scope: (Name=GuestHelper.TryFindUserInSPODS: SPOAuthSPODSAccessor.GetUser;StaticScopeId=6jnku) Execution Time=7.0148; CPU Milliseconds=5; Managed Bytes=197544; SQL Query Count=0; GCPauseMS=0; AllocBytes=198800;; Parent=GuestHelper.TryFindConnectedAccount
Medium,TryFindConnectedAccount: found user '327420_twgroup.co.nz#EXT#@colliers.onmicrosoft.com' by PUID in SPODS. Ignoring.
Medium,Leaving Monitored Scope: (Name=GuestHelper.TryFindConnectedAccount;StaticScopeId=6jnkt) Execution Time=7.2335; CPU Milliseconds=5; Managed Bytes=218440; SQL Query Count=0; GCPauseMS=0; AllocBytes=219824;; Parent=Request (POST:https://colliers.sharepoint.com/_forms/default.aspx<scrubbed>)
Medium,Have not found connected account. UserName: <name>'327420_twgroup.co.nz#EXT#@colliers.onmicrosoft.com'</name>.
Medium,The JSON token is valid for tenant user sign-in.
Medium,All sign-in policy checks passed.
Unexpected,The ReturnUrl element is not a relative uri. Discarding.
Medium,Using the Source element for sign-in target path.
High,context does not match contextUri. Not obtaining settings for context from cache.
Medium,Caching tenant user.
High,context does not match contextUri. Not obtaining settings for context from cache.
Medium,Access control claim is null or empty. ClaimType: 'controls'.
Medium,The ABT timeout property is returning computed value. Value: 'Null'.
Medium,"Got the JSON token claim value as a long. ClaimType: 'xms_pci', ClaimValue: '3600'."
Medium,Got the JSON token policy check interval. PolicyCheckInterval: '3600'.
Medium,Got the next CA policy check time. NextCAPolicyCheckTime: 04/03/2024 04:17:47.
Medium,"Got the JSON token claim value as a long. ClaimType: 'xms_mpci', ClaimValue: '259200'."
Medium,Got the JSON token policy check interval. MaxPolicyCheckInterval: '259200'.
Medium,Got the extended CA policy check time. ExtendedCAPolicyCheckTime: 04/06/2024 03:17:47.
Medium,The device id is not included in the JSON token so using the empty string.
Medium,The capolids_latebind claim is not included in the JSON token so using the empty string.
Medium,"Got the xms_cc claim from the JSON token. ClientCapabilities: '[""CP1""]'."
Medium,The xms_ssm claim is not included in the JSON token so using the empty string.
Medium,The xms_caechecks claim is not included in the JSON token.
Medium,The xms_rp_ipaddr claim is not included in the JSON token so using the empty string.
Medium,The tenant restrictions policy id claim is not included in the JSON token so using the empty string.
Medium,"Got the AuthContext claim from the JSON token: '[""urn:user:registersecurityinfo""]'."
Medium,Got the preferred_username claim from the JSON token. Value: <name>'327420@twgroup.co.nz'</name>.
Medium,Got the unique token id from the JSON token. Value: '6HhteOXMf0Om4IYmGtNbAA'.
Medium,Got the object id from the JSON token. ObjectId: '6b8caf92-2bd6-4fc6-9ba2-3462b05cfc79'.
Medium,Leaving Monitored Scope: (Name=SPSiteInfoData.Serialize;StaticScopeId=6gu6l) Execution Time=0.0231; CPU Milliseconds=0; Managed Bytes=5616; SQL Query Count=0; GCPauseMS=0; AllocBytes=6616;; Parent=FormsSignInPage.AuthenticateEventHandler: Retrieve security token and establish session.
Medium,SecurityTokenServiceReceiveRequest: Calling correlation id. Value: '34421ba1-50f0-5000-048b-356be2a51f34'.
Medium,The user key provider instance is created and set on the thread context.
Medium,STS Call: Creating Claims Operations Scope for Applies To Uri: 'https://colliers.sharepoint.com/_vti_bin/client.svc/contextinfo<scrubbed><scrubbed>'.
Medium,Leaving Monitored Scope: (Name=SPSiteInfoData.Deserialize;StaticScopeId=6gu6k) Execution Time=0.0326; CPU Milliseconds=0; Managed Bytes=1328; SQL Query Count=0; GCPauseMS=0; AllocBytes=2080;; Parent=SPSecurityTokenService.Issue
Medium,Created claims operation context with values passed from the content application pool.
Medium,SetupUserValidationType: Sign-in operation. Username: <name>327420_twgroup.co.nz#EXT#@colliers.onmicrosoft.com</name>.
Medium,Using SPClaimsOperationContext without HttpContext. Scope: '7669dc6c-1c61-4add-918e-c7e4843aec7c'.
Medium,Checking for MSA tenant.
Medium,Tested site subscription for MSA context. Value: 'False'.
Medium,The site configuration environment is null.
Medium,MsaTenant: SPOAuthHelper NOT configuring for MsaTenant because MsaTenantUtils.IsMsaTenant() is false.
Medium,Attempting to get a SPOAuthToken from raw ticket.
Unexpected,The authentication request context or the logging events are null.
Medium,The request is made with a token with key identifier 'q-23falevZhhD3hm9CQbkP5MQyU' and thumbprint 'ABEDB77DA95EBD98610F7866F4241B90FE4C4325'.
Medium,Successfully built an OpenID Connect JSON token object from the raw ticket.
Medium,Audience Guid matches current App Id Guid. Audience: '00000003-0000-0ff1-ce00-000000000000'.
Medium,Audience Guid matches current App Id Guid. Audience: '00000003-0000-0ff1-ce00-000000000000'.
Unexpected,Failed to get current subscription id.
Medium,Successfully validated OpenID Connect JSON token.
Medium,"Id token: '{""typ"":""JWT"",""alg"":""RS256"",""x5t"":""q-23falevZhhD3hm9CQbkP5MQyU"",""kid"":""q-23falevZhhD3hm9CQbkP5MQyU""}.{""aud"":""00000003-0000-0ff1-ce00-000000000000"",""iss"":""https://sts.windows.net/049e3382-8cdc-477b-9317-951b04689668/"",""iat"":1712113965,""nbf"":1712113965,""exp"":1712117865,""acrs"":[""urn:user:registersecurityinfo""],""aio"":""AUQAu/8WAAAA5WP2sulVrYnAgApa2IiU/5wYyGhP/5Mas/Eq97nsf/PQ5GWi+oh/QoVS6kWPjeqaNZYCyaFKJSVgrk7PEGFmrw=="",""altsecid"":""5::10032002CC6815D0"",""amr"":[""pwd""],""auth_time"":1706733039,""c_hash"":""Ubyy7WkHoOuso27M-tkr4g"",""e_exp"":262797,""email"":""*@twgroup.co.nz"",""idp"":""https://sts.windows.net/07e47c7e-9339-473b-8138-adb77559c551/"",""ipaddr"":""203.97.64.20"",""name"":""*"",""nonce"":""FC08EF6B552810B042BB1ADEC22EAB27CE71C2736D719C88-B2A5BB7D90DF6846446A0A470A8D8BA38D49EA9925CCF4FFEB0CF1BC5E02B8C6"",""oid"":""6b8caf92-2bd6-4fc6-9ba2-3462b05cfc79"",""preferred_username"":""*"",""puid"":""10032002CE038AB7"",""rh"":""0.ARsAgjOeBNyMe0eTF5UbBGiWaAMAAAAAAPEPzgAAAAAAAAAbAEg."",""sid"":""4c736738-d5c4-4075-bde6-eca7974bfa50"",""sub"":""TlRti10Ln9tEE73wJcEKPxVDl5FeaFhfATsiFdTDIOU"",""tid"":""049e3382-8cdc-477b-9317-951b04689668"",""unique_name"":""*"",""upn"":""*@colliers.onmicrosoft.com"",""uti"":""6HhteOXMf0Om4IYmGtNbAA"",""ver"":""1.0"",""wids"":[""13bd1c72-6f4a-4dcf-985f-18d3b80f208a""],""xms_cc"":[""CP1""],""xms_mpci"":259200,""xms_pci"":3600}.<scrubbed>'."
Medium,Successfully built an SPOAuthToken from the OpenID Connect JSON token and raw ticket.
Medium,"With CCSWebV2, CachedCredentialsService is also a supported Identity Provider."
Medium,Got identity provider. Value: 'AadEvoSts'.
Medium,"Got the JSON token claim value as a date-time. ClaimType: 'iat', ClaimValue: '04/03/2024 03:12:45'."
Medium,"Token audience matches the client id. ClientIdentifier: '00000003-0000-0ff1-ce00-000000000000', Audience: '00000003-0000-0ff1-ce00-000000000000'."
Medium,"Token issuer identifier matches the current tenant identifier. TenantIdentifier: '049e3382-8cdc-477b-9317-951b04689668', IssuerIdentifier: 'https://sts.windows.net/049e3382-8cdc-477b-9317-951b04689668/'."
Medium,Got the tenant id from the JSON token. TenantId: '049e3382-8cdc-477b-9317-951b04689668'.
Medium,"Token tenant identifier matches the current tenant identifier. TenantIdentifier: '049e3382-8cdc-477b-9317-951b04689668', TokenTenantIdentifier: '049e3382-8cdc-477b-9317-951b04689668'."
Medium,Leaving Monitored Scope: (Name=SPOAuthToken.ValidateReferredTokenBinding;StaticScopeId=6jnkp) Execution Time=0.0237; CPU Milliseconds=0; Managed Bytes=1256; SQL Query Count=0; GCPauseMS=0; AllocBytes=2008;; Parent=SPSecurityTokenService.Issue
Medium,The token is valid for sign-in pending Nonce cookie-token validation. Status: 'ValidTimeStamps | ValidAudience | ValidIssuer | ValidTenant | ValidNonceClaimPresent | ValidIdentityProvider | ValidRpsTokenV2 | ValidTokenBinding | ValidForOpenIdConnectInvitationAcceptanceWithoutNonceCheck | ValidForOpenIdConnectSignInWithoutNonceCheck | ValidForOpenIdConnectOperationsV2 | ValidForOpenIdConnectInvitationAcceptanceWithoutNonceCheckV2 | ValidForOpenIdConnectInvitationAcceptanceWithoutNonceCheckV3 | ValidForOpenIdConnectSignInWithoutNonceCheckV2'.
Medium,Ticket validation succeeded.
Medium,Got wids claim from ID token. Value: '13bd1c72-6f4a-4dcf-985f-18d3b80f208a'.
Medium,home_oid is not included in the JSON token.
Medium,Trying to map user.
Medium,Trying to find connected account for tenant OpenID Connect token.
Medium,Got the alternative security id from the JSON token. AlternativeSecurityId: '5::10032002CC6815D0'.
Medium,Got raw user name from the JSON token. RawUserName: <name>'327420_twgroup.co.nz#EXT#@colliers.onmicrosoft.com'</name>.
Medium,Got the puid from the JSON token. PUID: '10032002CE038AB7'.
Medium,The JSON token is for a tenant user.
Medium,"Connected account lookup for tenant user. UserName: <name>'327420_twgroup.co.nz#EXT#@colliers.onmicrosoft.com'</name>, Puid: '10032002CE038AB7',  AlternateSecurityId: '5::10032002CC6815D0'."
Medium,[SPOAuthSPODSAccessor.GetSPODSMode]: Got current SPODS Mode. Value: 'ADOnly'.
Medium,"Initializing ActiveDirectoryResolver from context was SUCCESSFUL for SPSite. Value: 'https://colliers.sharepoint.com/_vti_bin/client.svc/contextinfo<scrubbed>', UsedValue: 'https://colliers.sharepoint.com/_vti_bin/client.svc/contextinfo<scrubbed>'."
Medium,[ActiveDirectoryResolver]: In GetUserFromDirectoryAsProcess
Medium,"SetSpodsCredentialIfNeeded: Using custom credentials for Spods. Server 'LDAP://spd192625-054.spods192624.msft.net/OU=049e3382-8cdc-477b-9317-951b04689668,OU=Tenants,OU=MSOnline,DC=SPODS192624,DC=msft,DC=net', UserName: 'SPODS192624.msft.net\_DS192624_RD_7'."
Unexpected,The argument does not have the encoding separator. Argument name : 'encodedValue'.
Medium,Leaving Monitored Scope: (Name=QueryDirectoryServices with high availability for login;StaticScopeId=6jnk9) Execution Time=25.4921; CPU Milliseconds=5; Managed Bytes=119480; SQL Query Count=0; GCPauseMS=0; AllocBytes=120360;; Parent=GuestHelper.TryFindUserInSPODS: SPOAuthSPODSAccessor.GetUser
Medium,userSearchResult = System.DirectoryServices.SearchResult
Medium,User search resulted in MsoAccountEnabled being true.
Medium,This is a new guest user: 327420_twgroup.co.nz#EXT#@colliers.onmicrosoft.com.
Medium,GetUtcDateTimeProperty: Received property as a DateTime instance. Property name: 'msOnline-StsRefreshTokensValidFrom' Incoming value: '8/1/2023 3:50:29 AM' Incoming kind: 'Unspecified'.
Medium,GetUtcDateTimeProperty: Received property as a DateTime instance. Property name: 'msOnline-StsRefreshTokensValidFrom' Value: '8/1/2023 3:50:29 AM' Kind: 'Utc'.
Medium,Leaving Monitored Scope: (Name=GuestHelper.TryFindUserInSPODS: SPOAuthSPODSAccessor.GetUser;StaticScopeId=6jnku) Execution Time=26.5233; CPU Milliseconds=6; Managed Bytes=229152; SQL Query Count=0; GCPauseMS=0; AllocBytes=230160;; Parent=GuestHelper.TryFindConnectedAccount
Medium,TryFindConnectedAccount: found user '327420_twgroup.co.nz#EXT#@colliers.onmicrosoft.com' by PUID in SPODS. Ignoring.
Medium,Leaving Monitored Scope: (Name=GuestHelper.TryFindConnectedAccount;StaticScopeId=6jnkt) Execution Time=27.2612; CPU Milliseconds=7; Managed Bytes=264600; SQL Query Count=0; GCPauseMS=0; AllocBytes=265736;; Parent=SPSecurityTokenService.Issue
Medium,Have not found connected account. UserName: <name>'327420_twgroup.co.nz#EXT#@colliers.onmicrosoft.com'</name>.
Medium,The JSON token is valid for tenant user sign-in.
Medium,"Got the JSON token claim value as a date-time. ClaimType: 'auth_time', ClaimValue: '01/31/2024 20:30:39'."
Medium,Got the JSON token autenticaiton time. AuthInstant: '01/31/2024 20:30:39'.
Medium,"Got the JSON token claim value as a date-time. ClaimType: 'iat', ClaimValue: '04/03/2024 03:12:45'."
Medium,Got ValidFrom property from Json token. Result: '2024-04-03 03:17:45'.
Medium,Got the identity provider from the JSON token. OriginalIdentityProvider: 'https://sts.windows.net/07e47c7e-9339-473b-8138-adb77559c551/'.
Medium,Got the session id from the JSON token. SessionId: '4c736738-d5c4-4075-bde6-eca7974bfa50'.
Medium,"PopulatePropertiesForValidateUser: Adding the following claims for potential partner user. Idp: 'https://sts.windows.net/07e47c7e-9339-473b-8138-adb77559c551/', Email: '327420@twgroup.co.nz'."
Medium,"Token Handler: Claims Forms Sign-In: Enhanced username-password check for user succeeded. MembershipProvider: 'membership', UserName: <name>'327420_twgroup.co.nz#EXT#@colliers.onmicrosoft.com'</name>."
Medium,"AddClaimFromProperties: Found valid claim. ClaimType: 'http://schemas.microsoft.com/office/2017/03/SessionId', Value: '4c736738-d5c4-4075-bde6-eca7974bfa50'."
Medium,"AddClaimFromProperties: Found valid claim. ClaimType: 'http://schemas.microsoft.com/office/2017/05/HomeTenantId', Value: 'https://sts.windows.net/07e47c7e-9339-473b-8138-adb77559c551/'."
Medium,"AddClaimFromProperties: Found valid claim. ClaimType: 'http://schemas.microsoft.com/office/2017/05/PartnerUserEmail', Value: '327420@twgroup.co.nz'."
Medium,"AddClaimFromProperties: Found valid claim. ClaimType: 'http://schemas.microsoft.com/sharepoint/online/2021/10/claims/originalidentityprovider', Value: 'https://sts.windows.net/07e47c7e-9339-473b-8138-adb77559c551/'."
Medium,AddIncomingValidFromTimeClaim: This is a sign in request. Not adding this claim because we will get a new value from the token.
Medium,"No identity provider claim on the identity. ClaimType: 'http://schemas.microsoft.com/sharepoint/2009/08/claims/identityprovider', IdentityName: <name>'IIS APPPOOL\SharePoint Content Services'</name>."
Medium,"No identity provider claim on the identity. ClaimType: 'http://schemas.microsoft.com/sharepoint/2009/08/claims/identityprovider', IdentityName: <name>'327420_twgroup.co.nz#EXT#@colliers.onmicrosoft.com'</name>."
Medium,Initialized session revocation members. Auth instant: '01/31/2024 20:30:39' AVF: ''. IssuedAt: '04/03/2024 03:17:45'. NotBefore: '04/03/2024 03:17:45'. Form operation type: ''.
Medium,Initialize session attributes: Success from request properties: 'IsBrowser'.
Medium,TryInitializeSessionIdForForms: Success. Value: '4c736738-d5c4-4075-bde6-eca7974bfa50'
Medium,Initialize next CA policy check time. Value: '133565914679249543'.
Medium,Initialize extended CA policy check time. Value: '133568470679249543'.
Medium,TryInitializeInitialIpAddressForFormsSignIn: Initialized InitialIpAddress. Value: '<name>203.97.64.20</name>'.
Medium,TryInitializeDeviceIdForAadFormsSignIn: Initialized DeviceId. Value: ''.
Medium,TryInitializeAadClaimsForFormsSignIn: Initialized AAD claims. '3' claims were found.
Medium,TryInitializeObjectIdForFormsSignIn: Initialized ObjectId. Value: '6b8caf92-2bd6-4fc6-9ba2-3462b05cfc79'.
Medium,TryInitializeUserHexCid: GetSingleClaim did not return a UserHexCid claim.
Unexpected,TryInitializeGranularDelegatedAdminPermissionsMembersForFormsOperation fails to get well known role ids.
Medium,STS Call: Adding partner resolver related claims to the SPClaimsOperationContext.
Medium,STS Call: Adding identity provider claim. Value: 'https://sts.windows.net/07e47c7e-9339-473b-8138-adb77559c551/'
Medium,STS Call: Adding email claim. Value: '<name>327420@twgroup.co.nz</name>'
Medium,Not creating SPClaimsOperationContext since there is one on the thread already. Uri: 'https://colliers.sharepoint.com/_vti_bin/client.svc/contextinfo<scrubbed><scrubbed>'.
Medium,The membership provider user cache instance is null or not of an expected type.
Unexpected,The argument does not have the encoding separator. Argument name : 'encodedValue'.
Medium,"FillClaims [context: 'https://colliers.sharepoint.com/_vti_bin/client.svc/contextinfo<scrubbed><scrubbed>'] [entity: value: <name>0#.f|membership|327420_twgroup.co.nz#ext#@colliers.onmicrosoft.com</name>, type: 'http://schemas.microsoft.com/sharepoint/2009/08/claims/userid']"
Medium,CreateNativeFedUserInfoFromClaimsContext detects no native fed members on claims operation context. Not a native fed user.
Medium,CreateGranularDelegatedAdminPermissionsInfoFromClaimsContext detects no GDAP identity on the current thread.
Medium,"The license groups are refreshed after the last tenant provisioning. Last provisioning time : '4/2/2024 10:20:51 PM', Last cached time: '4/3/2024 3:10:06 AM'."
High,"The tenant license groups for tenant '7669dc6c-1c61-4add-918e-c7e4843aec7c' retrieved from the cache. Groups : 'SPO_SYS_CloudBIUsers,SPO_SYS_CopilotUsers,SPO_SYS_ProjectUsers,SPO_SYS_WACEditUsers,SPO_SYS_DesklessUsers,SPO_SYS_StandardUsers,SPO_SYS_ClipchampUsers,SPO_SYS_EnterpriseUsers,SPO_SYS_ProjectTeamUsers,SPO_SYS_VivaAmplifyUsers,SPO_SYS_OneDriveBasicUsers,SPO_SYS_VisioOnlineEditUsers,SPO_SYS_VivaConnectionsPremiumUsers'."
Medium,Leaving Monitored Scope: (Name=SPTenantLicenseGroupAccessor.GetTenantLicenseGroupsOrStartAsyncFetch;StaticScopeId=6h5rh) Execution Time=0.0783; CPU Milliseconds=0; Managed Bytes=5784; SQL Query Count=0; GCPauseMS=0; AllocBytes=6536;; Parent=SPClaimProvider.FillClaimsForEntity() : Tenant
Medium,[ActiveDirectoryResolver]: In GetUserFromDirectoryAsProcess
Medium,"SetSpodsCredentialIfNeeded: Using custom credentials for Spods. Server 'LDAP://spd192625-055.spods192624.msft.net/cn=6b8caf92-2bd6-4fc6-9ba2-3462b05cfc79,OU=049e3382-8cdc-477b-9317-951b04689668,OU=Tenants,OU=MSOnline,DC=SPODS192624,DC=msft,DC=net', UserName: 'SPODS192624.msft.net\_DS192624_RD_7'."
