Level,Message
Medium,Leaving Monitored Scope: (Name=First party client side component retrieval;StaticScopeId=6jm0s) Execution Time=10.4956; CPU Milliseconds=10; Managed Bytes=16972432; SQL Query Count=0; GCPauseMS=0; AllocBytes=16973784;; Parent=Microsoft.SharePoint.SPList.RenderListDataAsStream
Medium,Leaving Monitored Scope: (Name=SPClientSideFirstPartyComponentProvider.GetDisabledWebPartIds;StaticScopeId=6jm0r) Execution Time=0.058; CPU Milliseconds=0; Managed Bytes=3456; SQL Query Count=0; GCPauseMS=0; AllocBytes=4680;; Parent=First party client side component retrieval
Medium,Leaving Monitored Scope: (Name=First party client side component retrieval;StaticScopeId=6jm0s) Execution Time=17.4736; CPU Milliseconds=17; Managed Bytes=29286160; SQL Query Count=0; GCPauseMS=0; AllocBytes=29287512;; Parent=Microsoft.SharePoint.SPList.RenderListDataAsStream
Medium,Leaving Monitored Scope: (Name=SPClientSideFirstPartyComponentProvider.GetDisabledWebPartIds;StaticScopeId=6jm0r) Execution Time=0.0758; CPU Milliseconds=0; Managed Bytes=3456; SQL Query Count=0; GCPauseMS=0; AllocBytes=4680;; Parent=First party client side component retrieval
Medium,Leaving Monitored Scope: (Name=First party client side component retrieval;StaticScopeId=6jm0s) Execution Time=9.1364; CPU Milliseconds=9; Managed Bytes=15204072; SQL Query Count=0; GCPauseMS=0; AllocBytes=15205424;; Parent=Microsoft.SharePoint.SPList.RenderListDataAsStream
Medium,Leaving Monitored Scope: (Name=SPClientSideFirstPartyComponentProvider.GetDisabledWebPartIds;StaticScopeId=6jm0r) Execution Time=0.0802; CPU Milliseconds=0; Managed Bytes=3456; SQL Query Count=0; GCPauseMS=0; AllocBytes=4680;; Parent=First party client side component retrieval
Medium,Leaving Monitored Scope: (Name=First party client side component retrieval;StaticScopeId=6jm0s) Execution Time=7.1949; CPU Milliseconds=7; Managed Bytes=11663928; SQL Query Count=0; GCPauseMS=0; AllocBytes=11665280;; Parent=Microsoft.SharePoint.SPList.RenderListDataAsStream
Medium,Leaving Monitored Scope: (Name=SPClientSideFirstPartyComponentProvider.GetDisabledWebPartIds;StaticScopeId=6jm0r) Execution Time=0.0704; CPU Milliseconds=0; Managed Bytes=3248; SQL Query Count=0; GCPauseMS=0; AllocBytes=4472;; Parent=First party client side component retrieval
Medium,Leaving Monitored Scope: (Name=First party client side component retrieval;StaticScopeId=6jm0s) Execution Time=2.1253; CPU Milliseconds=2; Managed Bytes=2871008; SQL Query Count=0; GCPauseMS=0; AllocBytes=2872360;; Parent=Microsoft.SharePoint.SPList.RenderListDataAsStream
Medium,Leaving Monitored Scope: (Name=SPClientSideFirstPartyComponentProvider.GetDisabledWebPartIds;StaticScopeId=6jm0r) Execution Time=0.0713; CPU Milliseconds=0; Managed Bytes=3248; SQL Query Count=0; GCPauseMS=0; AllocBytes=4472;; Parent=First party client side component retrieval
Medium,Leaving Monitored Scope: (Name=First party client side component retrieval;StaticScopeId=6jm0s) Execution Time=1.8607; CPU Milliseconds=1; Managed Bytes=2876064; SQL Query Count=0; GCPauseMS=0; AllocBytes=2877416;; Parent=Microsoft.SharePoint.SPList.RenderListDataAsStream
Medium,Found 1 tenant wide extensions
High,Leaving Monitored Scope: (Name=SPClientSideCustomActions.GetPageCustomActions;StaticScopeId=6jm04) Execution Time=0.7301; CPU Milliseconds=0; Managed Bytes=119000; SQL Query Count=0; GCPauseMS=0; AllocBytes=120224;; Parent=Microsoft.SharePoint.SPList.RenderListDataAsStream
Medium,"Experiment Manager: GetExpName final key: "
Medium,Experiment Manager: GetExpName expName: production
Medium,Component Manager: public CreateInstance: Microsoft.SharePoint.Context.ContextInfo
Medium,Component Manager: Look in production
High,SpPageContextInfo.VanityUrls ExpectedFailure: Get Vanity Urls for no single tenant.
Medium,[SPTenantInstanceInfo] Try to load tenant instance info from tenantStore cache for tenant = 7669dc6c-1c61-4add-918e-c7e4843aec7c
Medium,"[SPTenantInstanceInfo] Successfully loaded tenantStore cache for tenant = 7669dc6c-1c61-4add-918e-c7e4843aec7c, Try to get HasMultipleInstances property from it."
Medium,"[SPTenantInstanceInfo] hasMultipleInstancesValueFromTenantStoreCache = False for tenant = 7669dc6c-1c61-4add-918e-c7e4843aec7c, from tenantStoreCache."
Medium,[SPTenantInstanceInfo] TenantInstanceInfo killswitch is NOT activated.
Medium,[SPTenantInstanceInfo] Current Tenant = 7669dc6c-1c61-4add-918e-c7e4843aec7c is Non-Multigeo Tenant
Medium,"[SPTenantInstanceInfo] hasMultipleInstances Is True, Get property TenantInstanceInfo from TenantStore Cache for tenant = 7669dc6c-1c61-4add-918e-c7e4843aec7c"
Medium,"[SPTenantInstanceInfo] tenant Instance Infos Json From TenantStore Cache = [{""InstanceId"":""4e130bd8-5681-43ce-8774-bbd3df744a80"",""DataLocation"":"""",""IsDefaultDataLocation"":false,""RootSiteUrl"":""https://colliers.sharepoint.com/"",""MySiteHostUrl"":""https://colliers-my.sharepoint.com/"",""TenantAdminUrl"":""https://colliers-admin.sharepoint.com/"",""PortalUrl"":""https://colliers.sharepoint.com/"",""AdditionalUrls"":[]}],for tenant = 7669dc6c-1c61-4add-918e-c7e4843aec7c"
Medium,"[SPTenantInstanceInfo] Successfully loaded property TenantInstanceInfo from TenantStore Cache for tenant = 7669dc6c-1c61-4add-918e-c7e4843aec7c, TenantInstanceInfoJson = [{""InstanceId"":""4e130bd8-5681-43ce-8774-bbd3df744a80"",""DataLocation"":"""",""IsDefaultDataLocation"":false,""RootSiteUrl"":""https://colliers.sharepoint.com/"",""MySiteHostUrl"":""https://colliers-my.sharepoint.com/"",""TenantAdminUrl"":""https://colliers-admin.sharepoint.com/"",""PortalUrl"":""https://colliers.sharepoint.com/"",""AdditionalUrls"":[]}]"
Medium,"[SPTenantInstanceInfo] tenantInstanceInfos is Loaded from TenantStore Cache and it is a cache hit, tenantInstanceInfosJson = [{""InstanceId"":""4e130bd8-5681-43ce-8774-bbd3df744a80"",""DataLocation"":"""",""IsDefaultDataLocation"":false,""RootSiteUrl"":""https://colliers.sharepoint.com/"",""MySiteHostUrl"":""https://colliers-my.sharepoint.com/"",""TenantAdminUrl"":""https://colliers-admin.sharepoint.com/"",""PortalUrl"":""https://colliers.sharepoint.com/"",""AdditionalUrls"":[]}], Tenant = 7669dc6c-1c61-4add-918e-c7e4843aec7c"
Medium,Leaving Monitored Scope: (Name=WEXAddMultiGeoInfoInPageContext;StaticScopeId=6jm0a) Execution Time=0.2501; CPU Milliseconds=0; Managed Bytes=25696; SQL Query Count=0; GCPauseMS=0; AllocBytes=27048;; Parent=Microsoft.SharePoint.SPList.RenderListDataAsStream
Medium,Encountered empty or invalid OAuth token on request. Do not bypass FormDigest for OAuth.
Medium,"Does userInfo need update. siteId: [C45A015B-4830-44BA-A5BF-EDFA6D89241B], userId: [44], bUserInfoNeedsUpdate: [False]"
Medium,"SPPolicyUtility.IsEnableMIPLabelEnabled: The value of the AAD unified setting for label, 'EnableMIPLabels', is 'True'."
Medium,Idle session sign out policy not enabled for the request.
Medium,'CollaborationTypeKey' property in tenant is being retrieved as: ExtranetWithShareByLink.
Medium,GetRequestFilesLinkPolicy: No request files link policy for core partition on tenant store
Medium,DisableCompanyWideSharingLinks:: Default of false used
Medium,SyntexEntitlementProvider::IsEntitledForFeature - Syntex Billing Setting is invalid.
Medium,SyntexEntitlementProvider::IsEntitledForFeature - Syntex Billing Setting is invalid.
Medium,SyntexEntitlementProvider::IsEntitledForFeature - Syntex Billing Setting is invalid.
Medium,SyntexEntitlementProvider::IsEntitledForFeature - Syntex Billing Setting is invalid.
Medium,Leaving Monitored Scope: (Name=GenerateClientSnippet;StaticScopeId=6e54v) Execution Time=4.9104; CPU Milliseconds=4; Managed Bytes=568608; SQL Query Count=0; GCPauseMS=0; AllocBytes=567680;; Parent=Microsoft.SharePoint.SPList.RenderListDataAsStream
Medium,GetHomeSiteNavConfigurationsSchema() : serializedDetails is null.
Medium,GetHomeSiteNavConfigurations() : Migration started
Medium,TransformOldToNewHomeSiteNavConfigurationsSchema() : Old schema is null. Nothing to transform.
Medium,VdbNavStruct::LoadScopeMap - Failed to insert ScopeId:{4E9186D1-171F-4918-ADC5-6057578900B8}  into the scope map.
Medium,"LicenseValidationProvider.IsUserLicensedForEntityWithQosEvent - Result [True], Data [LicenseValidationProvider.GetUserLicenses - UserPuid [10032002CE038AB7], Licenses [SPO_SYS_EnterpriseExtranetUsers] from cache
LicenseValidationProvider.IsUserLicensedForEntity - License [SPO_SYS_EnterpriseExtranetUsers] has Entities [BCS,HostBIEnabled,IPFS,EntSearch,VisioServices,OfficeWebAppsEdit,PersonalSiteRestriction,Microsoft.Office.Excel.WebUI.ExcelWebRenderer,Microsoft.Office.InfoPath.Server.Controls.WebUI.BrowserFormWebPart,Microsoft.Office.Server.Search.WebControls.CatalogItemReuseWebPart,Microsoft.Office.Server.Search.WebControls.ContentBySearchWebPart,Microsoft.Office.Server.Search.WebControls.TaxonomyRefinementScriptWebPart,Microsoft.Office.Visio.Server.WebControls.VisioWebAccess,Microsoft.SharePoint.Portal.WebControls.BusinessDataActionsWebPart,Microsoft.SharePoint.Portal.WebControls.BusinessDataAssociationWebPart,Microsoft.SharePoint.Portal.WebControls.BusinessDataDetailsWebPart,Microsoft.SharePoint.Portal.WebControls.BusinessDataFilterWebPart,Microsoft.SharePoint.Portal.WebControls.BusinessDataItemBuilder,Microsoft.SharePoint.Portal.WebControls.BusinessDataListWebPart,Microsoft.SharePoint.Portal.WebControls.IndicatorWebPart,Microsoft.SharePoint.Portal.WebControls.KPIListWebPart], LicensableEntity to validate [OfficeWebAppsEdit]
LicenseValidationProvider.IsUserLicensedForEntityWithQosEvent - LicensableEntity [OfficeWebAppsEdit], API [SPWebApplication_IsUserLicensedForEntity], Scenario [None], ResultFromOldPath [True], ResultFromNewPath [True], IsMismatchResult [False]
]"
Medium,"LicensableEntityMap.LicensableEntities - Total Count [64], Values [BCS,Duet,HostBIEnabled,IPFS,EntSearch,VisioServices,MySites,CloudStorage,EntSiteTemplate,Microsoft.Office.Excel.WebUI.ExcelWebRenderer,Microsoft.Office.InfoPath.Server.Controls.WebUI.BrowserFormWebPart,Microsoft.Office.Server.Search.WebControls.CatalogItemReuseWebPart,Microsoft.Office.Server.Search.WebControls.ContentBySearchWebPart,Microsoft.Office.Server.Search.WebControls.TaxonomyRefinementScriptWebPart,Microsoft.Office.Visio.Server.WebControls.VisioWebAccess,Microsoft.SharePoint.Portal.WebControls.BusinessDataActionsWebPart,Microsoft.SharePoint.Portal.WebControls.BusinessDataAssociationWebPart,Microsoft.SharePoint.Portal.WebControls.BusinessDataDetailsWebPart,Microsoft.SharePoint.Portal.WebControls.BusinessDataFilterWebPart,Microsoft.SharePoint.Portal.WebControls.BusinessDataItemBuilder,Microsoft.SharePoint.Portal.WebControls.BusinessDataListWebPart,Microsoft.SharePoint.Portal.WebControls.IndicatorWebPart,Microsoft.SharePoint.Portal.WebControls.KPIListWebPart,Project,Microsoft.Office.Project.PWA.WebParts.IssuesPart,Microsoft.Office.Project.PWA.WebParts.ProjectCenterPart,Microsoft.Office.Project.PWA.WebParts.ProjectCustomFieldsPart,Microsoft.Office.Project.PWA.WebParts.ProjectDrillDownPart,Microsoft.Office.Project.PWA.WebParts.ProjectFieldPart,Microsoft.Office.Project.PWA.WebParts.ProjectWorkspacesPart,Microsoft.Office.Project.PWA.WebParts.QueueStatusPart,Microsoft.Office.Project.PWA.WebParts.RemindersPart,Microsoft.Office.Project.PWA.WebParts.ResourceAssignmentsPart,Microsoft.Office.Project.PWA.WebParts.ResourceCenterPart,Microsoft.Office.Project.PWA.WebParts.ResourcePlansPart,Microsoft.Office.Project.PWA.WebParts.RisksPart,Microsoft.Office.Project.PWA.WebParts.SchedulePart,Microsoft.Office.Project.PWA.WebParts.StatusApprovalsPart,Microsoft.Office.Project.PWA.WebParts.StrategicImpactPart,Microsoft.Office.Project.PWA.WebParts.TaskPart,Microsoft.Office.Project.PWA.WebParts.TeamAssignmentsPart,Microsoft.Office.Project.PWA.WebParts.TimesheetPart,Microsoft.Office.Project.PWA.WebParts.WorkflowStatusPart,OfficeWebAppsEdit,CloudStorageBasic,CloudStorageBasicP2,CloudStorageEnterprise,CloudStorageDeskless,ProjectTeam,PersonalSiteRestriction,HostExtendedBIEnabled,OneDriveViral,OneDriveLite,VisioOnlineEdit,ContentServices,MnAODMove,SyntexSeatLicense,VivaAmplifyLicense,ClipchampLicense,ClipchampPremiumLicense,VivaConnectionsLicense,SharePointCopilot,StreamCopilot,OneDriveClipchamp]"
Medium,LicenseValidationProvider.IsUserLicensedForEntity - Lisensable Entity [CloudStorageDeskless] defined in SPO
Medium,"LicenseValidationProvider.IsUserLicensedForEntityWithQosEvent - Result [False], Data [LicenseValidationProvider.GetUserLicenses - UserPuid [10032002CE038AB7], Licenses [SPO_SYS_EnterpriseExtranetUsers] from cache
LicenseValidationProvider.IsUserLicensedForEntity - License [SPO_SYS_EnterpriseExtranetUsers] has Entities [BCS,HostBIEnabled,IPFS,EntSearch,VisioServices,OfficeWebAppsEdit,PersonalSiteRestriction,Microsoft.Office.Excel.WebUI.ExcelWebRenderer,Microsoft.Office.InfoPath.Server.Controls.WebUI.BrowserFormWebPart,Microsoft.Office.Server.Search.WebControls.CatalogItemReuseWebPart,Microsoft.Office.Server.Search.WebControls.ContentBySearchWebPart,Microsoft.Office.Server.Search.WebControls.TaxonomyRefinementScriptWebPart,Microsoft.Office.Visio.Server.WebControls.VisioWebAccess,Microsoft.SharePoint.Portal.WebControls.BusinessDataActionsWebPart,Microsoft.SharePoint.Portal.WebControls.BusinessDataAssociationWebPart,Microsoft.SharePoint.Portal.WebControls.BusinessDataDetailsWebPart,Microsoft.SharePoint.Portal.WebControls.BusinessDataFilterWebPart,Microsoft.SharePoint.Portal.WebControls.BusinessDataItemBuilder,Microsoft.SharePoint.Portal.WebControls.BusinessDataListWebPart,Microsoft.SharePoint.Portal.WebControls.IndicatorWebPart,Microsoft.SharePoint.Portal.WebControls.KPIListWebPart], LicensableEntity to validate [CloudStorageDeskless]
LicenseValidationProvider.IsUserLicensedForEntityWithQosEvent - LicensableEntity [CloudStorageDeskless], API [SPWebApplication_IsUserLicensedForEntity], Scenario [None], ResultFromOldPath [False], ResultFromNewPath [False], IsMismatchResult [False]
]"
Medium,"LicensableEntityMap.LicensableEntities - Total Count [64], Values [BCS,Duet,HostBIEnabled,IPFS,EntSearch,VisioServices,MySites,CloudStorage,EntSiteTemplate,Microsoft.Office.Excel.WebUI.ExcelWebRenderer,Microsoft.Office.InfoPath.Server.Controls.WebUI.BrowserFormWebPart,Microsoft.Office.Server.Search.WebControls.CatalogItemReuseWebPart,Microsoft.Office.Server.Search.WebControls.ContentBySearchWebPart,Microsoft.Office.Server.Search.WebControls.TaxonomyRefinementScriptWebPart,Microsoft.Office.Visio.Server.WebControls.VisioWebAccess,Microsoft.SharePoint.Portal.WebControls.BusinessDataActionsWebPart,Microsoft.SharePoint.Portal.WebControls.BusinessDataAssociationWebPart,Microsoft.SharePoint.Portal.WebControls.BusinessDataDetailsWebPart,Microsoft.SharePoint.Portal.WebControls.BusinessDataFilterWebPart,Microsoft.SharePoint.Portal.WebControls.BusinessDataItemBuilder,Microsoft.SharePoint.Portal.WebControls.BusinessDataListWebPart,Microsoft.SharePoint.Portal.WebControls.IndicatorWebPart,Microsoft.SharePoint.Portal.WebControls.KPIListWebPart,Project,Microsoft.Office.Project.PWA.WebParts.IssuesPart,Microsoft.Office.Project.PWA.WebParts.ProjectCenterPart,Microsoft.Office.Project.PWA.WebParts.ProjectCustomFieldsPart,Microsoft.Office.Project.PWA.WebParts.ProjectDrillDownPart,Microsoft.Office.Project.PWA.WebParts.ProjectFieldPart,Microsoft.Office.Project.PWA.WebParts.ProjectWorkspacesPart,Microsoft.Office.Project.PWA.WebParts.QueueStatusPart,Microsoft.Office.Project.PWA.WebParts.RemindersPart,Microsoft.Office.Project.PWA.WebParts.ResourceAssignmentsPart,Microsoft.Office.Project.PWA.WebParts.ResourceCenterPart,Microsoft.Office.Project.PWA.WebParts.ResourcePlansPart,Microsoft.Office.Project.PWA.WebParts.RisksPart,Microsoft.Office.Project.PWA.WebParts.SchedulePart,Microsoft.Office.Project.PWA.WebParts.StatusApprovalsPart,Microsoft.Office.Project.PWA.WebParts.StrategicImpactPart,Microsoft.Office.Project.PWA.WebParts.TaskPart,Microsoft.Office.Project.PWA.WebParts.TeamAssignmentsPart,Microsoft.Office.Project.PWA.WebParts.TimesheetPart,Microsoft.Office.Project.PWA.WebParts.WorkflowStatusPart,OfficeWebAppsEdit,CloudStorageBasic,CloudStorageBasicP2,CloudStorageEnterprise,CloudStorageDeskless,ProjectTeam,PersonalSiteRestriction,HostExtendedBIEnabled,OneDriveViral,OneDriveLite,VisioOnlineEdit,ContentServices,MnAODMove,SyntexSeatLicense,VivaAmplifyLicense,ClipchampLicense,ClipchampPremiumLicense,VivaConnectionsLicense,SharePointCopilot,StreamCopilot,OneDriveClipchamp]"
Medium,LicenseValidationProvider.IsUserLicensedForEntity - Lisensable Entity [VivaConnectionsLicense] defined in SPO
Medium,"LicenseValidationProvider.IsUserLicensedForEntityWithQosEvent - Result [False], Data [LicenseValidationProvider.GetUserLicenses - UserPuid [10032002CE038AB7], Licenses [SPO_SYS_EnterpriseExtranetUsers] from cache
LicenseValidationProvider.IsUserLicensedForEntity - License [SPO_SYS_EnterpriseExtranetUsers] has Entities [BCS,HostBIEnabled,IPFS,EntSearch,VisioServices,OfficeWebAppsEdit,PersonalSiteRestriction,Microsoft.Office.Excel.WebUI.ExcelWebRenderer,Microsoft.Office.InfoPath.Server.Controls.WebUI.BrowserFormWebPart,Microsoft.Office.Server.Search.WebControls.CatalogItemReuseWebPart,Microsoft.Office.Server.Search.WebControls.ContentBySearchWebPart,Microsoft.Office.Server.Search.WebControls.TaxonomyRefinementScriptWebPart,Microsoft.Office.Visio.Server.WebControls.VisioWebAccess,Microsoft.SharePoint.Portal.WebControls.BusinessDataActionsWebPart,Microsoft.SharePoint.Portal.WebControls.BusinessDataAssociationWebPart,Microsoft.SharePoint.Portal.WebControls.BusinessDataDetailsWebPart,Microsoft.SharePoint.Portal.WebControls.BusinessDataFilterWebPart,Microsoft.SharePoint.Portal.WebControls.BusinessDataItemBuilder,Microsoft.SharePoint.Portal.WebControls.BusinessDataListWebPart,Microsoft.SharePoint.Portal.WebControls.IndicatorWebPart,Microsoft.SharePoint.Portal.WebControls.KPIListWebPart], LicensableEntity to validate [VivaConnectionsLicense]
LicenseValidationProvider.IsUserLicensedForEntityWithQosEvent - LicensableEntity [VivaConnectionsLicense], API [SPWebApplication_IsUserLicensedForEntity], Scenario [None], ResultFromOldPath [False], ResultFromNewPath [False], IsMismatchResult [False]
]"
Medium,"LicensableEntityMap.LicensableEntities - Total Count [64], Values [BCS,Duet,HostBIEnabled,IPFS,EntSearch,VisioServices,MySites,CloudStorage,EntSiteTemplate,Microsoft.Office.Excel.WebUI.ExcelWebRenderer,Microsoft.Office.InfoPath.Server.Controls.WebUI.BrowserFormWebPart,Microsoft.Office.Server.Search.WebControls.CatalogItemReuseWebPart,Microsoft.Office.Server.Search.WebControls.ContentBySearchWebPart,Microsoft.Office.Server.Search.WebControls.TaxonomyRefinementScriptWebPart,Microsoft.Office.Visio.Server.WebControls.VisioWebAccess,Microsoft.SharePoint.Portal.WebControls.BusinessDataActionsWebPart,Microsoft.SharePoint.Portal.WebControls.BusinessDataAssociationWebPart,Microsoft.SharePoint.Portal.WebControls.BusinessDataDetailsWebPart,Microsoft.SharePoint.Portal.WebControls.BusinessDataFilterWebPart,Microsoft.SharePoint.Portal.WebControls.BusinessDataItemBuilder,Microsoft.SharePoint.Portal.WebControls.BusinessDataListWebPart,Microsoft.SharePoint.Portal.WebControls.IndicatorWebPart,Microsoft.SharePoint.Portal.WebControls.KPIListWebPart,Project,Microsoft.Office.Project.PWA.WebParts.IssuesPart,Microsoft.Office.Project.PWA.WebParts.ProjectCenterPart,Microsoft.Office.Project.PWA.WebParts.ProjectCustomFieldsPart,Microsoft.Office.Project.PWA.WebParts.ProjectDrillDownPart,Microsoft.Office.Project.PWA.WebParts.ProjectFieldPart,Microsoft.Office.Project.PWA.WebParts.ProjectWorkspacesPart,Microsoft.Office.Project.PWA.WebParts.QueueStatusPart,Microsoft.Office.Project.PWA.WebParts.RemindersPart,Microsoft.Office.Project.PWA.WebParts.ResourceAssignmentsPart,Microsoft.Office.Project.PWA.WebParts.ResourceCenterPart,Microsoft.Office.Project.PWA.WebParts.ResourcePlansPart,Microsoft.Office.Project.PWA.WebParts.RisksPart,Microsoft.Office.Project.PWA.WebParts.SchedulePart,Microsoft.Office.Project.PWA.WebParts.StatusApprovalsPart,Microsoft.Office.Project.PWA.WebParts.StrategicImpactPart,Microsoft.Office.Project.PWA.WebParts.TaskPart,Microsoft.Office.Project.PWA.WebParts.TeamAssignmentsPart,Microsoft.Office.Project.PWA.WebParts.TimesheetPart,Microsoft.Office.Project.PWA.WebParts.WorkflowStatusPart,OfficeWebAppsEdit,CloudStorageBasic,CloudStorageBasicP2,CloudStorageEnterprise,CloudStorageDeskless,ProjectTeam,PersonalSiteRestriction,HostExtendedBIEnabled,OneDriveViral,OneDriveLite,VisioOnlineEdit,ContentServices,MnAODMove,SyntexSeatLicense,VivaAmplifyLicense,ClipchampLicense,ClipchampPremiumLicense,VivaConnectionsLicense,SharePointCopilot,StreamCopilot,OneDriveClipchamp]"
Medium,LicenseValidationProvider.IsUserLicensedForEntity - Lisensable Entity [ClipchampLicense] defined in SPO
Medium,"LicenseValidationProvider.IsUserLicensedForEntityWithQosEvent - Result [False], Data [LicenseValidationProvider.GetUserLicenses - UserPuid [10032002CE038AB7], Licenses [SPO_SYS_EnterpriseExtranetUsers] from cache
LicenseValidationProvider.IsUserLicensedForEntity - License [SPO_SYS_EnterpriseExtranetUsers] has Entities [BCS,HostBIEnabled,IPFS,EntSearch,VisioServices,OfficeWebAppsEdit,PersonalSiteRestriction,Microsoft.Office.Excel.WebUI.ExcelWebRenderer,Microsoft.Office.InfoPath.Server.Controls.WebUI.BrowserFormWebPart,Microsoft.Office.Server.Search.WebControls.CatalogItemReuseWebPart,Microsoft.Office.Server.Search.WebControls.ContentBySearchWebPart,Microsoft.Office.Server.Search.WebControls.TaxonomyRefinementScriptWebPart,Microsoft.Office.Visio.Server.WebControls.VisioWebAccess,Microsoft.SharePoint.Portal.WebControls.BusinessDataActionsWebPart,Microsoft.SharePoint.Portal.WebControls.BusinessDataAssociationWebPart,Microsoft.SharePoint.Portal.WebControls.BusinessDataDetailsWebPart,Microsoft.SharePoint.Portal.WebControls.BusinessDataFilterWebPart,Microsoft.SharePoint.Portal.WebControls.BusinessDataItemBuilder,Microsoft.SharePoint.Portal.WebControls.BusinessDataListWebPart,Microsoft.SharePoint.Portal.WebControls.IndicatorWebPart,Microsoft.SharePoint.Portal.WebControls.KPIListWebPart], LicensableEntity to validate [ClipchampLicense]
LicenseValidationProvider.IsUserLicensedForEntityWithQosEvent - LicensableEntity [ClipchampLicense], API [SPWebApplication_IsUserLicensedForEntity], Scenario [None], ResultFromOldPath [False], ResultFromNewPath [False], IsMismatchResult [False]
]"
Medium,"LicensableEntityMap.LicensableEntities - Total Count [64], Values [BCS,Duet,HostBIEnabled,IPFS,EntSearch,VisioServices,MySites,CloudStorage,EntSiteTemplate,Microsoft.Office.Excel.WebUI.ExcelWebRenderer,Microsoft.Office.InfoPath.Server.Controls.WebUI.BrowserFormWebPart,Microsoft.Office.Server.Search.WebControls.CatalogItemReuseWebPart,Microsoft.Office.Server.Search.WebControls.ContentBySearchWebPart,Microsoft.Office.Server.Search.WebControls.TaxonomyRefinementScriptWebPart,Microsoft.Office.Visio.Server.WebControls.VisioWebAccess,Microsoft.SharePoint.Portal.WebControls.BusinessDataActionsWebPart,Microsoft.SharePoint.Portal.WebControls.BusinessDataAssociationWebPart,Microsoft.SharePoint.Portal.WebControls.BusinessDataDetailsWebPart,Microsoft.SharePoint.Portal.WebControls.BusinessDataFilterWebPart,Microsoft.SharePoint.Portal.WebControls.BusinessDataItemBuilder,Microsoft.SharePoint.Portal.WebControls.BusinessDataListWebPart,Microsoft.SharePoint.Portal.WebControls.IndicatorWebPart,Microsoft.SharePoint.Portal.WebControls.KPIListWebPart,Project,Microsoft.Office.Project.PWA.WebParts.IssuesPart,Microsoft.Office.Project.PWA.WebParts.ProjectCenterPart,Microsoft.Office.Project.PWA.WebParts.ProjectCustomFieldsPart,Microsoft.Office.Project.PWA.WebParts.ProjectDrillDownPart,Microsoft.Office.Project.PWA.WebParts.ProjectFieldPart,Microsoft.Office.Project.PWA.WebParts.ProjectWorkspacesPart,Microsoft.Office.Project.PWA.WebParts.QueueStatusPart,Microsoft.Office.Project.PWA.WebParts.RemindersPart,Microsoft.Office.Project.PWA.WebParts.ResourceAssignmentsPart,Microsoft.Office.Project.PWA.WebParts.ResourceCenterPart,Microsoft.Office.Project.PWA.WebParts.ResourcePlansPart,Microsoft.Office.Project.PWA.WebParts.RisksPart,Microsoft.Office.Project.PWA.WebParts.SchedulePart,Microsoft.Office.Project.PWA.WebParts.StatusApprovalsPart,Microsoft.Office.Project.PWA.WebParts.StrategicImpactPart,Microsoft.Office.Project.PWA.WebParts.TaskPart,Microsoft.Office.Project.PWA.WebParts.TeamAssignmentsPart,Microsoft.Office.Project.PWA.WebParts.TimesheetPart,Microsoft.Office.Project.PWA.WebParts.WorkflowStatusPart,OfficeWebAppsEdit,CloudStorageBasic,CloudStorageBasicP2,CloudStorageEnterprise,CloudStorageDeskless,ProjectTeam,PersonalSiteRestriction,HostExtendedBIEnabled,OneDriveViral,OneDriveLite,VisioOnlineEdit,ContentServices,MnAODMove,SyntexSeatLicense,VivaAmplifyLicense,ClipchampLicense,ClipchampPremiumLicense,VivaConnectionsLicense,SharePointCopilot,StreamCopilot,OneDriveClipchamp]"
Medium,LicenseValidationProvider.IsUserLicensedForEntity - Lisensable Entity [SharePointCopilot] defined in SPO
Medium,"LicenseValidationProvider.IsUserLicensedForEntityWithQosEvent - Result [False], Data [LicenseValidationProvider.GetUserLicenses - UserPuid [10032002CE038AB7], Licenses [SPO_SYS_EnterpriseExtranetUsers] from cache
LicenseValidationProvider.IsUserLicensedForEntity - License [SPO_SYS_EnterpriseExtranetUsers] has Entities [BCS,HostBIEnabled,IPFS,EntSearch,VisioServices,OfficeWebAppsEdit,PersonalSiteRestriction,Microsoft.Office.Excel.WebUI.ExcelWebRenderer,Microsoft.Office.InfoPath.Server.Controls.WebUI.BrowserFormWebPart,Microsoft.Office.Server.Search.WebControls.CatalogItemReuseWebPart,Microsoft.Office.Server.Search.WebControls.ContentBySearchWebPart,Microsoft.Office.Server.Search.WebControls.TaxonomyRefinementScriptWebPart,Microsoft.Office.Visio.Server.WebControls.VisioWebAccess,Microsoft.SharePoint.Portal.WebControls.BusinessDataActionsWebPart,Microsoft.SharePoint.Portal.WebControls.BusinessDataAssociationWebPart,Microsoft.SharePoint.Portal.WebControls.BusinessDataDetailsWebPart,Microsoft.SharePoint.Portal.WebControls.BusinessDataFilterWebPart,Microsoft.SharePoint.Portal.WebControls.BusinessDataItemBuilder,Microsoft.SharePoint.Portal.WebControls.BusinessDataListWebPart,Microsoft.SharePoint.Portal.WebControls.IndicatorWebPart,Microsoft.SharePoint.Portal.WebControls.KPIListWebPart], LicensableEntity to validate [SharePointCopilot]
LicenseValidationProvider.IsUserLicensedForEntityWithQosEvent - LicensableEntity [SharePointCopilot], API [SPWebApplication_IsUserLicensedForEntity], Scenario [None], ResultFromOldPath [False], ResultFromNewPath [False], IsMismatchResult [False]
]"
Medium,Tenant has StreamCopilot license: False
